# ----------------------------------------
# Todos os dados do website
# Visão geral
# 20131225-20180228
# ----------------------------------------

categoria,usuarios,novos-usuarios,sessoes,tr,ps,dmds,taxa-de-conversao-de-meta,conclusoes-de-meta,valor-da-meta
desktop,12950,13038,18960,"53,20%","5,27",00:03:36,"0,00%",0,"R$ 0,00"
mobile,2248,2255,3175,"61,17%","3,55",00:02:21,"0,00%",0,"R$ 0,00"
tablet,189,192,281,"55,52%","5,92",00:02:50,"0,00%",0,"R$ 0,00"
Total,15387,15485,22416,"54,36%","5,03",00:03:25,"0,00%",0,"R$ 0,00"

