data,acessos
25/12/2013,0
26/12/2013,0
27/12/2013,0
28/12/2013,0
29/12/2013,0
30/12/2013,0
31/12/2013,0
01/01/2014,0
02/01/2014,0
03/01/2014,0
04/01/2014,0
05/01/2014,0
06/01/2014,0
07/01/2014,0
08/01/2014,0
09/01/2014,0
10/01/2014,0
11/01/2014,0
12/01/2014,0
13/01/2014,0
14/01/2014,0
15/01/2014,0
16/01/2014,0
17/01/2014,0
18/01/2014,0
19/01/2014,0
20/01/2014,0
21/01/2014,0
22/01/2014,0
23/01/2014,0
24/01/2014,0
25/01/2014,0
26/01/2014,0
27/01/2014,0
28/01/2014,0
29/01/2014,0
30/01/2014,0
31/01/2014,0
01/02/2014,0
02/02/2014,0
03/02/2014,0
04/02/2014,0
05/02/2014,0
06/02/2014,0
07/02/2014,0
08/02/2014,0
09/02/2014,0
10/02/2014,0
11/02/2014,0
12/02/2014,0
13/02/2014,0
14/02/2014,0
15/02/2014,0
16/02/2014,0
17/02/2014,0
18/02/2014,0
19/02/2014,0
20/02/2014,0
21/02/2014,0
22/02/2014,0
23/02/2014,0
24/02/2014,0
25/02/2014,0
26/02/2014,0
27/02/2014,0
28/02/2014,0
01/03/2014,0
02/03/2014,0
03/03/2014,0
04/03/2014,0
05/03/2014,0
06/03/2014,0
07/03/2014,0
08/03/2014,0
09/03/2014,0
10/03/2014,0
11/03/2014,0
12/03/2014,0
13/03/2014,0
14/03/2014,0
15/03/2014,0
16/03/2014,0
17/03/2014,0
18/03/2014,0
19/03/2014,0
20/03/2014,0
21/03/2014,0
22/03/2014,0
23/03/2014,0
24/03/2014,0
25/03/2014,0
26/03/2014,0
27/03/2014,0
28/03/2014,0
29/03/2014,0
30/03/2014,0
31/03/2014,0
01/04/2014,0
02/04/2014,0
03/04/2014,0
04/04/2014,0
05/04/2014,0
06/04/2014,0
07/04/2014,0
08/04/2014,0
09/04/2014,0
10/04/2014,0
11/04/2014,0
12/04/2014,0
13/04/2014,0
14/04/2014,0
15/04/2014,0
16/04/2014,0
17/04/2014,0
18/04/2014,0
19/04/2014,0
20/04/2014,0
21/04/2014,0
22/04/2014,0
23/04/2014,0
24/04/2014,0
25/04/2014,0
26/04/2014,0
27/04/2014,0
28/04/2014,0
29/04/2014,0
30/04/2014,0
01/05/2014,0
02/05/2014,0
03/05/2014,0
04/05/2014,0
05/05/2014,0
06/05/2014,0
07/05/2014,0
08/05/2014,0
09/05/2014,0
10/05/2014,0
11/05/2014,0
12/05/2014,0
13/05/2014,0
14/05/2014,0
15/05/2014,0
16/05/2014,0
17/05/2014,0
18/05/2014,0
19/05/2014,0
20/05/2014,0
21/05/2014,0
22/05/2014,0
23/05/2014,0
24/05/2014,0
25/05/2014,0
26/05/2014,0
27/05/2014,0
28/05/2014,0
29/05/2014,0
30/05/2014,0
31/05/2014,0
01/06/2014,0
02/06/2014,0
03/06/2014,0
04/06/2014,0
05/06/2014,0
06/06/2014,0
07/06/2014,0
08/06/2014,0
09/06/2014,0
10/06/2014,0
11/06/2014,0
12/06/2014,0
13/06/2014,0
14/06/2014,0
15/06/2014,0
16/06/2014,0
17/06/2014,0
18/06/2014,0
19/06/2014,0
20/06/2014,0
21/06/2014,0
22/06/2014,0
23/06/2014,0
24/06/2014,0
25/06/2014,0
26/06/2014,0
27/06/2014,0
28/06/2014,0
29/06/2014,0
30/06/2014,0
01/07/2014,0
02/07/2014,0
03/07/2014,0
04/07/2014,0
05/07/2014,0
06/07/2014,0
07/07/2014,0
08/07/2014,0
09/07/2014,0
10/07/2014,0
11/07/2014,0
12/07/2014,0
13/07/2014,0
14/07/2014,0
15/07/2014,0
16/07/2014,0
17/07/2014,0
18/07/2014,0
19/07/2014,0
20/07/2014,0
21/07/2014,0
22/07/2014,0
23/07/2014,0
24/07/2014,0
25/07/2014,0
26/07/2014,0
27/07/2014,0
28/07/2014,0
29/07/2014,0
30/07/2014,0
31/07/2014,0
01/08/2014,0
02/08/2014,0
03/08/2014,0
04/08/2014,0
05/08/2014,0
06/08/2014,0
07/08/2014,0
08/08/2014,0
09/08/2014,0
10/08/2014,0
11/08/2014,0
12/08/2014,0
13/08/2014,0
14/08/2014,0
15/08/2014,0
16/08/2014,0
17/08/2014,0
18/08/2014,0
19/08/2014,0
20/08/2014,0
21/08/2014,0
22/08/2014,0
23/08/2014,0
24/08/2014,0
25/08/2014,0
26/08/2014,0
27/08/2014,0
28/08/2014,0
29/08/2014,0
30/08/2014,0
31/08/2014,0
01/09/2014,0
02/09/2014,0
03/09/2014,0
04/09/2014,1
05/09/2014,4
06/09/2014,1
07/09/2014,0
08/09/2014,2
09/09/2014,224
10/09/2014,222
11/09/2014,43
12/09/2014,21
13/09/2014,17
14/09/2014,10
15/09/2014,6
16/09/2014,11
17/09/2014,20
18/09/2014,11
19/09/2014,5
20/09/2014,7
21/09/2014,9
22/09/2014,9
23/09/2014,5
24/09/2014,8
25/09/2014,6
26/09/2014,11
27/09/2014,0
28/09/2014,0
29/09/2014,0
30/09/2014,0
01/10/2014,3
02/10/2014,9
03/10/2014,2
04/10/2014,1
05/10/2014,4
06/10/2014,9
07/10/2014,2
08/10/2014,4
09/10/2014,4
10/10/2014,1
11/10/2014,4
12/10/2014,2
13/10/2014,5
14/10/2014,0
15/10/2014,4
16/10/2014,6
17/10/2014,4
18/10/2014,2
19/10/2014,3
20/10/2014,7
21/10/2014,7
22/10/2014,3
23/10/2014,2
24/10/2014,5
25/10/2014,3
26/10/2014,6
27/10/2014,3
28/10/2014,3
29/10/2014,4
30/10/2014,6
31/10/2014,2
01/11/2014,1
02/11/2014,3
03/11/2014,9
04/11/2014,1
05/11/2014,8
06/11/2014,2
07/11/2014,5
08/11/2014,2
09/11/2014,3
10/11/2014,5
11/11/2014,11
12/11/2014,55
13/11/2014,8
14/11/2014,12
15/11/2014,7
16/11/2014,4
17/11/2014,5
18/11/2014,0
19/11/2014,4
20/11/2014,5
21/11/2014,4
22/11/2014,4
23/11/2014,2
24/11/2014,7
25/11/2014,3
26/11/2014,2
27/11/2014,6
28/11/2014,3
29/11/2014,5
30/11/2014,3
01/12/2014,3
02/12/2014,5
03/12/2014,4
04/12/2014,2
05/12/2014,2
06/12/2014,4
07/12/2014,5
08/12/2014,1
09/12/2014,4
10/12/2014,4
11/12/2014,4
12/12/2014,4
13/12/2014,1
14/12/2014,2
15/12/2014,5
16/12/2014,3
17/12/2014,3
18/12/2014,1
19/12/2014,4
20/12/2014,2
21/12/2014,4
22/12/2014,1
23/12/2014,1
24/12/2014,1
25/12/2014,1
26/12/2014,1
27/12/2014,1
28/12/2014,4
29/12/2014,3
30/12/2014,4
31/12/2014,1
01/01/2015,1
02/01/2015,2
03/01/2015,2
04/01/2015,5
05/01/2015,4
06/01/2015,4
07/01/2015,2
08/01/2015,4
09/01/2015,4
10/01/2015,7
11/01/2015,0
12/01/2015,1
13/01/2015,3
14/01/2015,3
15/01/2015,1
16/01/2015,4
17/01/2015,0
18/01/2015,0
19/01/2015,4
20/01/2015,4
21/01/2015,4
22/01/2015,0
23/01/2015,1
24/01/2015,4
25/01/2015,1
26/01/2015,4
27/01/2015,3
28/01/2015,6
29/01/2015,1
30/01/2015,2
31/01/2015,0
01/02/2015,3
02/02/2015,3
03/02/2015,2
04/02/2015,1
05/02/2015,7
06/02/2015,1
07/02/2015,2
08/02/2015,4
09/02/2015,4
10/02/2015,0
11/02/2015,1
12/02/2015,6
13/02/2015,0
14/02/2015,3
15/02/2015,1
16/02/2015,1
17/02/2015,1
18/02/2015,4
19/02/2015,0
20/02/2015,2
21/02/2015,1
22/02/2015,1
23/02/2015,6
24/02/2015,6
25/02/2015,2
26/02/2015,5
27/02/2015,5
28/02/2015,4
01/03/2015,4
02/03/2015,4
03/03/2015,12
04/03/2015,21
05/03/2015,7
06/03/2015,8
07/03/2015,3
08/03/2015,6
09/03/2015,3
10/03/2015,7
11/03/2015,1
12/03/2015,11
13/03/2015,10
14/03/2015,2
15/03/2015,15
16/03/2015,7
17/03/2015,2
18/03/2015,11
19/03/2015,46
20/03/2015,7
21/03/2015,7
22/03/2015,41
23/03/2015,6
24/03/2015,81
25/03/2015,39
26/03/2015,79
27/03/2015,131
28/03/2015,53
29/03/2015,10
30/03/2015,12
31/03/2015,7
01/04/2015,77
02/04/2015,100
03/04/2015,11
04/04/2015,3
05/04/2015,7
06/04/2015,9
07/04/2015,7
08/04/2015,5
09/04/2015,6
10/04/2015,3
11/04/2015,6
12/04/2015,7
13/04/2015,8
14/04/2015,10
15/04/2015,11
16/04/2015,6
17/04/2015,8
18/04/2015,14
19/04/2015,14
20/04/2015,9
21/04/2015,4
22/04/2015,11
23/04/2015,8
24/04/2015,28
25/04/2015,23
26/04/2015,62
27/04/2015,51
28/04/2015,30
29/04/2015,16
30/04/2015,8
01/05/2015,47
02/05/2015,13
03/05/2015,9
04/05/2015,43
05/05/2015,13
06/05/2015,35
07/05/2015,11
08/05/2015,9
09/05/2015,44
10/05/2015,1
11/05/2015,57
12/05/2015,53
13/05/2015,6
14/05/2015,30
15/05/2015,52
16/05/2015,18
17/05/2015,33
18/05/2015,38
19/05/2015,27
20/05/2015,26
21/05/2015,19
22/05/2015,5
23/05/2015,2
24/05/2015,23
25/05/2015,22
26/05/2015,32
27/05/2015,11
28/05/2015,47
29/05/2015,8
30/05/2015,52
31/05/2015,26
01/06/2015,74
02/06/2015,27
03/06/2015,35
04/06/2015,12
05/06/2015,7
06/06/2015,10
07/06/2015,0
08/06/2015,6
09/06/2015,29
10/06/2015,27
11/06/2015,59
12/06/2015,67
13/06/2015,57
14/06/2015,25
15/06/2015,9
16/06/2015,13
17/06/2015,37
18/06/2015,87
19/06/2015,20
20/06/2015,5
21/06/2015,45
22/06/2015,65
23/06/2015,54
24/06/2015,9
25/06/2015,8
26/06/2015,27
27/06/2015,29
28/06/2015,26
29/06/2015,9
30/06/2015,6
01/07/2015,20
02/07/2015,8
03/07/2015,49
04/07/2015,5
05/07/2015,66
06/07/2015,26
07/07/2015,106
08/07/2015,12
09/07/2015,37
10/07/2015,49
11/07/2015,40
12/07/2015,29
13/07/2015,32
14/07/2015,50
15/07/2015,65
16/07/2015,27
17/07/2015,45
18/07/2015,30
19/07/2015,3
20/07/2015,14
21/07/2015,34
22/07/2015,54
23/07/2015,29
24/07/2015,53
25/07/2015,51
26/07/2015,22
27/07/2015,34
28/07/2015,32
29/07/2015,108
30/07/2015,4
31/07/2015,1
01/08/2015,0
02/08/2015,16
03/08/2015,23
04/08/2015,4
05/08/2015,11
06/08/2015,9
07/08/2015,9
08/08/2015,36
09/08/2015,18
10/08/2015,51
11/08/2015,36
12/08/2015,33
13/08/2015,28
14/08/2015,21
15/08/2015,9
16/08/2015,6
17/08/2015,13
18/08/2015,15
19/08/2015,11
20/08/2015,5
21/08/2015,23
22/08/2015,14
23/08/2015,12
24/08/2015,7
25/08/2015,12
26/08/2015,6
27/08/2015,12
28/08/2015,12
29/08/2015,6
30/08/2015,9
31/08/2015,12
01/09/2015,15
02/09/2015,19
03/09/2015,14
04/09/2015,12
05/09/2015,19
06/09/2015,6
07/09/2015,18
08/09/2015,14
09/09/2015,17
10/09/2015,9
11/09/2015,8
12/09/2015,8
13/09/2015,7
14/09/2015,15
15/09/2015,6
16/09/2015,20
17/09/2015,18
18/09/2015,7
19/09/2015,0
20/09/2015,5
21/09/2015,10
22/09/2015,15
23/09/2015,6
24/09/2015,14
25/09/2015,2
26/09/2015,6
27/09/2015,3
28/09/2015,8
29/09/2015,12
30/09/2015,12
01/10/2015,13
02/10/2015,13
03/10/2015,6
04/10/2015,9
05/10/2015,9
06/10/2015,7
07/10/2015,9
08/10/2015,10
09/10/2015,7
10/10/2015,4
11/10/2015,10
12/10/2015,7
13/10/2015,26
14/10/2015,27
15/10/2015,11
16/10/2015,16
17/10/2015,6
18/10/2015,9
19/10/2015,15
20/10/2015,12
21/10/2015,16
22/10/2015,14
23/10/2015,9
24/10/2015,2
25/10/2015,12
26/10/2015,13
27/10/2015,22
28/10/2015,7
29/10/2015,12
30/10/2015,11
31/10/2015,11
01/11/2015,8
02/11/2015,17
03/11/2015,10
04/11/2015,31
05/11/2015,19
06/11/2015,19
07/11/2015,8
08/11/2015,11
09/11/2015,19
10/11/2015,11
11/11/2015,19
12/11/2015,12
13/11/2015,16
14/11/2015,8
15/11/2015,8
16/11/2015,20
17/11/2015,101
18/11/2015,38
19/11/2015,10
20/11/2015,50
21/11/2015,7
22/11/2015,36
23/11/2015,10
24/11/2015,14
25/11/2015,17
26/11/2015,21
27/11/2015,26
28/11/2015,24
29/11/2015,11
30/11/2015,33
01/12/2015,17
02/12/2015,9
03/12/2015,9
04/12/2015,11
05/12/2015,15
06/12/2015,12
07/12/2015,27
08/12/2015,17
09/12/2015,22
10/12/2015,25
11/12/2015,14
12/12/2015,16
13/12/2015,9
14/12/2015,11
15/12/2015,15
16/12/2015,12
17/12/2015,6
18/12/2015,7
19/12/2015,5
20/12/2015,10
21/12/2015,4
22/12/2015,8
23/12/2015,47
24/12/2015,46
25/12/2015,46
26/12/2015,10
27/12/2015,11
28/12/2015,7
29/12/2015,4
30/12/2015,16
31/12/2015,0
01/01/2016,1
02/01/2016,2
03/01/2016,4
04/01/2016,22
05/01/2016,34
06/01/2016,3
07/01/2016,5
08/01/2016,5
09/01/2016,17
10/01/2016,24
11/01/2016,53
12/01/2016,4
13/01/2016,6
14/01/2016,6
15/01/2016,9
16/01/2016,11
17/01/2016,10
18/01/2016,8
19/01/2016,5
20/01/2016,10
21/01/2016,10
22/01/2016,6
23/01/2016,34
24/01/2016,4
25/01/2016,5
26/01/2016,7
27/01/2016,27
28/01/2016,5
29/01/2016,5
30/01/2016,9
31/01/2016,9
01/02/2016,10
02/02/2016,14
03/02/2016,9
04/02/2016,6
05/02/2016,4
06/02/2016,0
07/02/2016,3
08/02/2016,1
09/02/2016,5
10/02/2016,6
11/02/2016,13
12/02/2016,4
13/02/2016,5
14/02/2016,8
15/02/2016,10
16/02/2016,11
17/02/2016,15
18/02/2016,14
19/02/2016,6
20/02/2016,14
21/02/2016,7
22/02/2016,21
23/02/2016,24
24/02/2016,16
25/02/2016,24
26/02/2016,11
27/02/2016,10
28/02/2016,16
29/02/2016,21
01/03/2016,33
02/03/2016,19
03/03/2016,22
04/03/2016,18
05/03/2016,3
06/03/2016,13
07/03/2016,16
08/03/2016,16
09/03/2016,18
10/03/2016,18
11/03/2016,11
12/03/2016,6
13/03/2016,14
14/03/2016,20
15/03/2016,15
16/03/2016,20
17/03/2016,11
18/03/2016,9
19/03/2016,9
20/03/2016,8
21/03/2016,18
22/03/2016,19
23/03/2016,15
24/03/2016,8
25/03/2016,6
26/03/2016,7
27/03/2016,5
28/03/2016,14
29/03/2016,12
30/03/2016,7
31/03/2016,8
01/04/2016,11
02/04/2016,9
03/04/2016,5
04/04/2016,16
05/04/2016,45
06/04/2016,24
07/04/2016,17
08/04/2016,13
09/04/2016,9
10/04/2016,13
11/04/2016,14
12/04/2016,20
13/04/2016,17
14/04/2016,12
15/04/2016,10
16/04/2016,8
17/04/2016,20
18/04/2016,38
19/04/2016,18
20/04/2016,13
21/04/2016,8
22/04/2016,8
23/04/2016,2
24/04/2016,6
25/04/2016,15
26/04/2016,23
27/04/2016,17
28/04/2016,11
29/04/2016,7
30/04/2016,11
01/05/2016,16
02/05/2016,19
03/05/2016,18
04/05/2016,17
05/05/2016,16
06/05/2016,10
07/05/2016,4
08/05/2016,12
09/05/2016,28
10/05/2016,16
11/05/2016,21
12/05/2016,14
13/05/2016,11
14/05/2016,2
15/05/2016,18
16/05/2016,27
17/05/2016,26
18/05/2016,16
19/05/2016,16
20/05/2016,14
21/05/2016,9
22/05/2016,14
23/05/2016,14
24/05/2016,11
25/05/2016,18
26/05/2016,15
27/05/2016,19
28/05/2016,9
29/05/2016,17
30/05/2016,10
31/05/2016,20
01/06/2016,19
02/06/2016,4
03/06/2016,44
04/06/2016,18
05/06/2016,12
06/06/2016,12
07/06/2016,13
08/06/2016,14
09/06/2016,17
10/06/2016,9
11/06/2016,7
12/06/2016,9
13/06/2016,11
14/06/2016,9
15/06/2016,13
16/06/2016,12
17/06/2016,7
18/06/2016,7
19/06/2016,9
20/06/2016,16
21/06/2016,15
22/06/2016,14
23/06/2016,12
24/06/2016,12
25/06/2016,10
26/06/2016,8
27/06/2016,274
28/06/2016,55
29/06/2016,28
30/06/2016,22
01/07/2016,30
02/07/2016,5
03/07/2016,38
04/07/2016,18
05/07/2016,12
06/07/2016,8
07/07/2016,15
08/07/2016,8
09/07/2016,4
10/07/2016,7
11/07/2016,12
12/07/2016,17
13/07/2016,15
14/07/2016,37
15/07/2016,16
16/07/2016,11
17/07/2016,6
18/07/2016,15
19/07/2016,20
20/07/2016,12
21/07/2016,9
22/07/2016,10
23/07/2016,36
24/07/2016,8
25/07/2016,11
26/07/2016,12
27/07/2016,17
28/07/2016,39
29/07/2016,5
30/07/2016,13
31/07/2016,64
01/08/2016,15
02/08/2016,9
03/08/2016,15
04/08/2016,11
05/08/2016,9
06/08/2016,7
07/08/2016,2
08/08/2016,11
09/08/2016,15
10/08/2016,14
11/08/2016,13
12/08/2016,14
13/08/2016,6
14/08/2016,3
15/08/2016,17
16/08/2016,9
17/08/2016,21
18/08/2016,11
19/08/2016,6
20/08/2016,7
21/08/2016,7
22/08/2016,11
23/08/2016,16
24/08/2016,18
25/08/2016,9
26/08/2016,19
27/08/2016,6
28/08/2016,12
29/08/2016,31
30/08/2016,24
31/08/2016,23
01/09/2016,17
02/09/2016,8
03/09/2016,0
04/09/2016,1
05/09/2016,30
06/09/2016,15
07/09/2016,14
08/09/2016,21
09/09/2016,17
10/09/2016,13
11/09/2016,7
12/09/2016,24
13/09/2016,41
14/09/2016,21
15/09/2016,13
16/09/2016,16
17/09/2016,7
18/09/2016,11
19/09/2016,30
20/09/2016,30
21/09/2016,31
22/09/2016,24
23/09/2016,15
24/09/2016,8
25/09/2016,16
26/09/2016,15
27/09/2016,20
28/09/2016,16
29/09/2016,18
30/09/2016,10
01/10/2016,5
02/10/2016,13
03/10/2016,20
04/10/2016,12
05/10/2016,21
06/10/2016,15
07/10/2016,8
08/10/2016,2
09/10/2016,7
10/10/2016,6
11/10/2016,10
12/10/2016,9
13/10/2016,18
14/10/2016,18
15/10/2016,4
16/10/2016,1
17/10/2016,2
18/10/2016,7
19/10/2016,14
20/10/2016,17
21/10/2016,14
22/10/2016,9
23/10/2016,9
24/10/2016,17
25/10/2016,18
26/10/2016,9
27/10/2016,20
28/10/2016,15
29/10/2016,3
30/10/2016,6
31/10/2016,12
01/11/2016,6
02/11/2016,11
03/11/2016,17
04/11/2016,7
05/11/2016,7
06/11/2016,12
07/11/2016,12
08/11/2016,13
09/11/2016,11
10/11/2016,10
11/11/2016,11
12/11/2016,21
13/11/2016,14
14/11/2016,23
15/11/2016,25
16/11/2016,21
17/11/2016,13
18/11/2016,25
19/11/2016,7
20/11/2016,11
21/11/2016,13
22/11/2016,16
23/11/2016,22
24/11/2016,15
25/11/2016,12
26/11/2016,16
27/11/2016,12
28/11/2016,24
29/11/2016,28
30/11/2016,16
01/12/2016,18
02/12/2016,30
03/12/2016,9
04/12/2016,10
05/12/2016,32
06/12/2016,23
07/12/2016,12
08/12/2016,27
09/12/2016,19
10/12/2016,23
11/12/2016,12
12/12/2016,20
13/12/2016,22
14/12/2016,19
15/12/2016,18
16/12/2016,13
17/12/2016,13
18/12/2016,9
19/12/2016,10
20/12/2016,11
21/12/2016,9
22/12/2016,4
23/12/2016,7
24/12/2016,2
25/12/2016,1
26/12/2016,2
27/12/2016,4
28/12/2016,24
29/12/2016,5
30/12/2016,2
31/12/2016,8
01/01/2017,13
02/01/2017,9
03/01/2017,12
04/01/2017,19
05/01/2017,4
06/01/2017,8
07/01/2017,8
08/01/2017,7
09/01/2017,9
10/01/2017,9
11/01/2017,12
12/01/2017,10
13/01/2017,8
14/01/2017,5
15/01/2017,7
16/01/2017,6
17/01/2017,13
18/01/2017,20
19/01/2017,17
20/01/2017,8
21/01/2017,8
22/01/2017,9
23/01/2017,8
24/01/2017,11
25/01/2017,8
26/01/2017,10
27/01/2017,13
28/01/2017,12
29/01/2017,9
30/01/2017,26
31/01/2017,15
01/02/2017,16
02/02/2017,14
03/02/2017,14
04/02/2017,11
05/02/2017,12
06/02/2017,19
07/02/2017,24
08/02/2017,19
09/02/2017,13
10/02/2017,12
11/02/2017,13
12/02/2017,17
13/02/2017,24
14/02/2017,25
15/02/2017,28
16/02/2017,20
17/02/2017,17
18/02/2017,14
19/02/2017,15
20/02/2017,27
21/02/2017,29
22/02/2017,22
23/02/2017,28
24/02/2017,12
25/02/2017,8
26/02/2017,10
27/02/2017,7
28/02/2017,15
01/03/2017,18
02/03/2017,17
03/03/2017,23
04/03/2017,23
05/03/2017,12
06/03/2017,32
07/03/2017,27
08/03/2017,36
09/03/2017,25
10/03/2017,32
11/03/2017,11
12/03/2017,25
13/03/2017,22
14/03/2017,21
15/03/2017,23
16/03/2017,20
17/03/2017,12
18/03/2017,1
19/03/2017,13
20/03/2017,30
21/03/2017,25
22/03/2017,19
23/03/2017,17
24/03/2017,21
25/03/2017,7
26/03/2017,8
27/03/2017,17
28/03/2017,25
29/03/2017,25
30/03/2017,16
31/03/2017,17
01/04/2017,12
02/04/2017,12
03/04/2017,15
04/04/2017,21
05/04/2017,17
06/04/2017,10
07/04/2017,9
08/04/2017,9
09/04/2017,8
10/04/2017,13
11/04/2017,6
12/04/2017,13
13/04/2017,12
14/04/2017,5
15/04/2017,6
16/04/2017,11
17/04/2017,17
18/04/2017,15
19/04/2017,13
20/04/2017,16
21/04/2017,12
22/04/2017,6
23/04/2017,14
24/04/2017,17
25/04/2017,22
26/04/2017,22
27/04/2017,17
28/04/2017,17
29/04/2017,7
30/04/2017,2
01/05/2017,14
02/05/2017,28
03/05/2017,22
04/05/2017,25
05/05/2017,15
06/05/2017,16
07/05/2017,23
08/05/2017,29
09/05/2017,24
10/05/2017,29
11/05/2017,20
12/05/2017,19
13/05/2017,11
14/05/2017,16
15/05/2017,27
16/05/2017,28
17/05/2017,21
18/05/2017,25
19/05/2017,11
20/05/2017,15
21/05/2017,17
22/05/2017,17
23/05/2017,18
24/05/2017,17
25/05/2017,21
26/05/2017,23
27/05/2017,12
28/05/2017,25
29/05/2017,20
30/05/2017,21
31/05/2017,17
01/06/2017,20
02/06/2017,22
03/06/2017,13
04/06/2017,15
05/06/2017,21
06/06/2017,26
07/06/2017,62
08/06/2017,110
09/06/2017,35
10/06/2017,24
11/06/2017,25
12/06/2017,28
13/06/2017,33
14/06/2017,26
15/06/2017,20
16/06/2017,33
17/06/2017,27
18/06/2017,34
19/06/2017,36
20/06/2017,29
21/06/2017,20
22/06/2017,21
23/06/2017,22
24/06/2017,11
25/06/2017,12
26/06/2017,17
27/06/2017,15
28/06/2017,14
29/06/2017,15
30/06/2017,15
01/07/2017,11
02/07/2017,12
03/07/2017,22
04/07/2017,19
05/07/2017,19
06/07/2017,16
07/07/2017,15
08/07/2017,5
